STATEFIP,YEAR,COUNT(MH1),MH1
4,2017,37269,7
4,2017,1584,8
4,2017,4758,9
4,2017,1000,10
4,2017,19727,11
4,2017,10,12
4,2017,3680,13
4,2018,54911,-9
4,2018,12659,1
4,2018,29586,2
4,2018,20587,3
4,2018,1697,4
4,2018,2,5
4,2018,28143,6
4,2018,42320,7
4,2018,1862,8
4,2018,5714,9
4,2018,1319,10
4,2018,21951,11
4,2018,2,12
4,2018,4020,13
4,2020,34034,-9
4,2020,58492,1
4,2020,50366,2
4,2020,25955,3
4,2020,2321,4
4,2020,3477,5
4,2020,26344,6
4,2020,55750,7
4,2020,1554,8
4,2020,13198,9
4,2020,1576,10
4,2020,24800,11
4,2020,46705,12
4,2020,39762,13
4,2021,24455,-9
4,2021,65631,1
4,2021,61006,2
4,2021,26123,3
4,2021,2229,4
4,2021,3408,5
4,2021,26880,6
4,2021,63260,7
4,2021,1310,8
4,2021,13438,9
4,2021,1693,10
4,2021,26381,11
4,2021,47545,12
4,2021,42350,13
4,2022,19533,-9
4,2022,68444,1
4,2022,69547,2
4,2022,27948,3
4,2022,3039,4
4,2022,3508,5
4,2022,27770,6
4,2022,64598,7
4,2022,1331,8
4,2022,14631,9
4,2022,1809,10
4,2022,26916,11
4,2022,51033,12
4,2022,45007,13
4,2023,8522,-9
4,2023,70082,1
4,2023,76153,2
4,2023,31428,3
4,2023,3975,4
4,2023,2810,5
4,2023,28212,6
4,2023,62622,7
4,2023,1495,8
4,2023,16421,9
4,2023,1802,10
4,2023,26784,11
4,2023,58309,12
4,2023,48214,13
5,2013,3355,-9
5,2013,7906,1
5,2013,6006,2
5,2013,5313,3
5,2013,2856,4
5,2013,154,5
5,2013,12317,6
5,2013,16526,7
5,2013,2856,8
5,2013,157,9
5,2013,158,10
5,2013,8332,11
5,2013,4027,13
5,2014,3428,-9
5,2014,7656,1
5,2014,6133,2
5,2014,3670,3
5,2014,3059,4
5,2014,125,5
5,2014,12356,6
5,2014,16260,7
5,2014,2504,8
5,2014,163,9
5,2014,157,10
5,2014,8390,11
5,2014,3,12
5,2014,3737,13
5,2015,3843,-9
5,2015,8591,1
5,2015,6724,2
5,2015,3103,3
5,2015,3071,4
5,2015,149,5
5,2015,12520,6
5,2015,17547,7
5,2015,2022,8
5,2015,133,9
5,2015,140,10
5,2015,8307,11
5,2015,4,12
5,2015,3244,13
5,2016,6493,-9
5,2016,10346,1
5,2016,7934,2
5,2016,2703,3
5,2016,3055,4
5,2016,190,5
5,2016,7342,6
5,2016,20314,7
5,2016,1961,8
5,2016,100,9
5,2016,243,10
5,2016,8413,11
5,2016,5364,13
5,2017,5749,-9
5,2017,11026,1
5,2017,9114,2
5,2017,2479,3
5,2017,2790,4
5,2017,196,5
5,2017,7143,6
5,2017,20355,7
5,2017,1814,8
5,2017,93,9
5,2017,454,10
5,2017,8524,11
5,2017,5248,13
5,2018,15286,-9
5,2018,10358,1
5,2018,7699,2
5,2018,1075,3
5,2018,2360,4
5,2018,171,5
5,2018,6044,6
5,2018,18416,7
5,2018,1279,8
5,2018,77,9
5,2018,418,10
5,2018,6758,11
5,2018,4947,13
5,2019,16030,-9
5,2019,10744,1
5,2019,8146,2
5,2019,1103,3
5,2019,2665,4
5,2019,95,5
5,2019,5946,6
5,2019,17969,7
5,2019,1258,8
5,2019,102,9
5,2019,410,10
5,2019,6770,11
5,2019,4901,13
5,2020,3941,-9
5,2020,12098,1
5,2020,9585,2
5,2020,2795,3
5,2020,3082,4
5,2020,71,5
5,2020,6851,6
5,2020,19271,7
5,2020,1582,8
5,2020,142,9
5,2020,390,10
5,2020,8542,11
5,2020,4177,12
5,2020,5025,13
5,2021,3670,-9
5,2021,12674,1
5,2021,9357,2
5,2021,3171,3
5,2021,2586,4
5,2021,62,5
5,2021,6696,6
5,2021,18791,7
5,2021,1350,8
5,2021,160,9
5,2021,379,10
5,2021,8654,11
5,2021,4320,12
5,2021,4613,13
5,2022,3029,-9
5,2022,12711,1
5,2022,8850,2
5,2022,3718,3
5,2022,2538,4
5,2022,48,5
5,2022,5940,6
5,2022,17278,7
5,2022,1330,8
5,2022,177,9
5,2022,285,10
5,2022,8141,11
5,2022,4051,12
5,2022,4170,13
5,2023,2520,-9
5,2023,10878,1
5,2023,8487,2
5,2023,3852,3
5,2023,2595,4
5,2023,41,5
5,2023,5687,6
5,2023,15874,7
5,2023,1175,8
5,2023,205,9
5,2023,331,10
5,2023,7700,11
5,2023,3252,12
5,2023,3799,13
6,2013,6558,-9
6,2013,77098,1
6,2013,39751,2
6,2013,38514,3
6,2013,26540,4
6,2013,1104,5
6,2013,100515,6
6,2013,164907,7
6,2013,15966,8
6,2013,3785,9
6,2013,1056,10
6,2013,112502,11
6,2013,23455,12
6,2013,60869,13
6,2014,6772,-9
6,2014,71986,1
6,2014,49427,2
6,2014,23568,3
6,2014,23563,4
6,2014,2019,5
6,2014,110699,6
6,2014,169189,7
6,2014,14701,8
6,2014,6306,9
6,2014,3327,10
6,2014,122016,11
6,2014,37638,12
6,2014,55969,13
6,2015,4990,-9
6,2015,72536,1
6,2015,53062,2
6,2015,22677,3
6,2015,23354,4
6,2015,2030,5
6,2015,109278,6
6,2015,171357,7
6,2015,14037,8
6,2015,6529,9
6,2015,3051,10
6,2015,121390,11
6,2015,36770,12
6,2015,55084,13
6,2016,5646,-9
6,2016,68448,1
6,2016,51869,2
6,2016,21059,3
6,2016,21282,4
6,2016,1823,5
6,2016,95964,6
6,2016,148638,7
6,2016,12367,8
6,2016,6207,9
6,2016,2862,10
6,2016,111180,11
6,2016,33771,12
6,2016,67024,13
6,2017,61514,-9
6,2017,67027,1
6,2017,45169,2
6,2017,27737,3
6,2017,14260,4
6,2017,1057,5
6,2017,43536,6
6,2017,130182,7
6,2017,9625,8
6,2017,3705,9
6,2017,910,10
6,2017,105130,11
6,2017,57995,12
6,2017,72589,13
6,2018,35191,-9
6,2018,77998,1
6,2018,56262,2
6,2018,29725,3
6,2018,12745,4
6,2018,1360,5
6,2018,50549,6
6,2018,163574,7
6,2018,11956,8
6,2018,3380,9
6,2018,1070,10
6,2018,123588,11
6,2018,64282,12
6,2018,79432,13
6,2019,44903,-9
6,2019,85191,1
6,2019,61808,2
6,2019,30599,3
