STATEFIP,YEAR,COUNT(MH2),MH2
1,2013,10660,-9
1,2013,3928,1
1,2013,9922,2
1,2013,2894,3
1,2013,1138,4
1,2013,418,5
1,2013,1606,6
1,2013,2616,7
1,2013,2333,8
1,2013,550,9
1,2013,814,10
1,2013,608,11
1,2013,7478,12
1,2013,52397,13
1,2014,6691,-9
1,2014,3932,1
1,2014,9977,2
1,2014,2977,3
1,2014,1182,4
1,2014,489,5
1,2014,1611,6
1,2014,2514,7
1,2014,2283,8
1,2014,629,9
1,2014,791,10
1,2014,567,11
1,2014,7562,12
1,2014,53269,13
1,2015,7555,-9
1,2015,4137,1
1,2015,10467,2
1,2015,3208,3
1,2015,1173,4
1,2015,502,5
1,2015,1630,6
1,2015,2592,7
1,2015,2220,8
1,2015,613,9
1,2015,703,10
1,2015,605,11
1,2015,8693,12
1,2015,57484,13
1,2016,80625,-9
1,2016,2898,1
1,2016,7090,2
1,2016,1965,3
1,2016,492,4
1,2016,270,5
1,2016,386,6
1,2016,1830,7
1,2016,1229,8
1,2016,336,9
1,2016,1690,10
1,2016,383,11
1,2016,2261,12
1,2016,2865,13
1,2017,82319,-9
1,2017,3143,1
1,2017,7023,2
1,2017,2057,3
1,2017,428,4
1,2017,214,5
1,2017,373,6
1,2017,1902,7
1,2017,1345,8
1,2017,346,9
1,2017,1401,10
1,2017,409,11
1,2017,302,12
1,2017,2697,13
1,2018,81454,-9
1,2018,3275,1
1,2018,7205,2
1,2018,1946,3
1,2018,358,4
1,2018,215,5
1,2018,307,6
1,2018,1736,7
1,2018,1402,8
1,2018,453,9
1,2018,1264,10
1,2018,375,11
1,2018,84,12
1,2018,2350,13
1,2019,80683,-9
1,2019,3635,1
1,2019,8144,2
1,2019,1905,3
1,2019,372,4
1,2019,241,5
1,2019,333,6
1,2019,1827,7
1,2019,1547,8
1,2019,603,9
1,2019,1268,10
1,2019,344,11
1,2019,11,12
1,2019,2290,13
1,2020,73955,-9
1,2020,3850,1
1,2020,8650,2
1,2020,2120,3
1,2020,401,4
1,2020,218,5
1,2020,507,6
1,2020,2103,7
1,2020,1584,8
1,2020,442,9
1,2020,1218,10
1,2020,424,11
1,2020,8,12
1,2020,2047,13
1,2021,63689,-9
1,2021,4768,1
1,2021,10700,2
1,2021,3141,3
1,2021,579,4
1,2021,263,5
1,2021,598,6
1,2021,2686,7
1,2021,2052,8
1,2021,441,9
1,2021,2284,10
1,2021,506,11
1,2021,3,12
1,2021,3188,13
1,2022,61754,-9
1,2022,4806,1
1,2022,11229,2
1,2022,3241,3
1,2022,509,4
1,2022,241,5
1,2022,594,6
1,2022,2729,7
1,2022,2034,8
1,2022,388,9
1,2022,2024,10
1,2022,496,11
1,2022,70,12
1,2022,3036,13
1,2023,59438,-9
1,2023,5035,1
1,2023,12150,2
1,2023,3564,3
1,2023,490,4
1,2023,168,5
1,2023,597,6
1,2023,2841,7
1,2023,2235,8
1,2023,451,9
1,2023,1722,10
1,2023,533,11
1,2023,8,12
1,2023,2965,13
2,2019,9808,-9
2,2019,241,1
2,2019,193,2
2,2019,69,3
2,2019,14,4
2,2019,1,5
2,2019,28,6
2,2019,188,7
2,2019,26,8
2,2019,10,9
2,2019,26,10
2,2019,15,11
2,2019,342,12
2,2019,121,13
2,2020,9357,-9
2,2020,172,1
2,2020,151,2
2,2020,57,3
2,2020,10,4
2,2020,3,5
2,2020,17,6
2,2020,176,7
2,2020,34,8
2,2020,4,9
2,2020,9,10
2,2020,5,11
2,2020,241,12
2,2020,101,13
2,2021,8632,-9
2,2021,174,1
2,2021,165,2
2,2021,62,3
2,2021,17,4
2,2021,1,5
2,2021,15,6
2,2021,199,7
2,2021,47,8
2,2021,8,9
2,2021,16,10
2,2021,7,11
2,2021,208,12
2,2021,85,13
2,2022,8525,-9
2,2022,156,1
2,2022,183,2
2,2022,73,3
2,2022,14,4
2,2022,2,5
2,2022,13,6
2,2022,177,7
2,2022,28,8
2,2022,7,9
2,2022,12,10
2,2022,10,11
2,2022,154,12
2,2022,84,13
2,2023,9747,-9
2,2023,140,1
2,2023,146,2
2,2023,50,3
2,2023,9,4
2,2023,2,5
2,2023,9,6
2,2023,153,7
2,2023,18,8
2,2023,6,9
2,2023,15,10
2,2023,8,11
2,2023,147,12
2,2023,67,13
4,2013,73181,-9
4,2013,12883,1
4,2013,19725,2
4,2013,13080,3
4,2013,1574,4
4,2013,461,5
4,2013,3757,6
4,2013,7876,7
4,2013,3056,8
4,2013,2347,9
4,2013,5886,10
4,2013,1771,11
4,2013,409,12
4,2013,45087,13
4,2014,49091,-9
4,2014,12214,1
4,2014,18432,2
4,2014,11348,3
4,2014,1293,4
4,2014,475,5
4,2014,3530,6
4,2014,6915,7
4,2014,2491,8
4,2014,2412,9
4,2014,5256,10
4,2014,1615,11
4,2014,361,12
4,2014,42740,13
4,2015,49395,-9
4,2015,12426,1
4,2015,19248,2
4,2015,10376,3
4,2015,1117,4
4,2015,479,5
4,2015,3558,6
4,2015,7366,7
4,2015,2271,8
4,2015,2362,9
4,2015,4798,10
4,2015,1579,11
4,2015,445,12
4,2015,39702,13
4,2016,105036,-9
4,2016,10385,1
4,2016,22596,2
4,2016,10377,3
4,2016,946,4
4,2016,185,5
4,2016,2815,6
4,2016,7972,7
4,2016,2520,8
4,2016,2250,9
4,2016,4367,10
4,2016,1344,11
4,2016,167,12
4,2016,17012,13
4,2017,129706,-9
4,2017,8233,1
4,2017,22883,2
4,2017,9874,3
4,2017,720,4
4,2017,38,5
4,2017,2357,6
4,2017,7914,7
4,2017,2468,8
4,2017,2201,9
4,2017,4120,10
4,2017,1337,11
4,2017,69,12
4,2017,4292,13
4,2018,152456,-9
4,2018,8888,1
4,2018,26059,2
4,2018,10270,3
4,2018,719,4
4,2018,12,5
4,2018,2774,6
4,2018,9837,7
4,2018,2434,8
4,2018,2496,9
4,2018,4051,10
4,2018,1619,11
4,2018,58,12
4,2018,3100,13
4,2020,302114,-9
4,2020,8060,1
4,2020,20801,2
4,2020,5048,3
4,2020,553,4
4,2020,1199,5
4,2020,3195,6
4,2020,13830,7
4,2020,975,8
4,2020,1433,9
4,2020,1027,10
4,2020,2264,11
4,2020,12568,12
4,2020,11267,13
4,2021,262135,-9
4,2021,17518,1
4,2021,45552,2
4,2021,9736,3
4,2021,1165,4
4,2021,1439,5
4,2021,7036,6
4,2021,25921,7
4,2021,1838,8
4,2021,2524,9
4,2021,3025,10
4,2021,4811,11
4,2021,60,12
4,2021,22949,13
4,2022,265010,-9
4,2022,19887,1
4,2022,48744,2
4,2022,11775,3
4,2022,1723,4
4,2022,1477,5
4,2022,7370,6
4,2022,27634,7
4,2022,1962,8
4,2022,2973,9
4,2022,3382,10
4,2022,5148,11
4,2022,58,12
4,2022,27971,13
4,2023,257304,-9
4,2023,22798,1
4,2023,61854,2
4,2023,14876,3
4,2023,2087,4
4,2023,824,5
4,2023,7803,6
4,2023,31350,7
4,2023,2204,8
4,2023,3561,9
4,2023,3543,10
4,2023,5896,11
4,2023,44,12
4,2023,22685,13
5,2013,63090,-9
5,2013,885,1
5,2013,823,2
5,2013,1275,3
5,2013,500,4
5,2013,26,5
5,2013,957,6
5,2013,1170,7
5,2013,453,8
5,2013,58,9
5,2013,112,10
5,2013,335,11
5,2013,1,12
5,2013,278,13
5,2014,62393,-9
5,2014,857,1
5,2014,728,2
5,2014,477,3
5,2014,369,4
5,2014,7,5
5,2014,886,6
5,2014,901,7
5,2014,368,8
5,2014,23,9
5,2014,75,10
5,2014,278,11
5,2014,1,12
5,2014,278,13
5,2015,63188,-9
5,2015,950,1
5,2015,893,2
5,2015,538,3
5,2015,425,4
5,2015,24,5
5,2015,995,6
